big,body,residual,is_cube1,is_cube2,profile,has_type_i_nontrivial,type_i_repr,cube2_repr
125,0,125,1,1,ObservedMinOne-candidate,1,5^3,0^3+5^3
125,1,124,0,0,other,0,,
125,2,123,0,0,other,0,,
125,3,122,0,0,other,0,,
125,4,121,0,0,other,1,11^2,
125,5,120,0,0,other,0,,
125,6,119,0,0,other,0,,
125,7,118,0,0,other,0,,
125,8,117,0,0,other,0,,
125,9,116,0,0,other,0,,
125,10,115,0,0,other,0,,
125,11,114,0,0,other,0,,
125,12,113,0,0,other,0,,
125,13,112,0,0,other,0,,
125,14,111,0,0,other,0,,
125,15,110,0,0,other,0,,
125,16,109,0,0,other,0,,
125,17,108,0,0,other,0,,
125,18,107,0,0,other,0,,
125,19,106,0,0,other,0,,
125,20,105,0,0,other,0,,
125,21,104,0,0,other,0,,
125,22,103,0,0,other,0,,
125,23,102,0,0,other,0,,
125,24,101,0,0,other,0,,
125,25,100,0,0,other,1,10^2,
125,26,99,0,0,other,0,,
125,27,98,0,0,other,0,,
125,28,97,0,0,other,0,,
125,29,96,0,0,other,0,,
125,30,95,0,0,other,0,,
125,31,94,0,0,other,0,,
125,32,93,0,0,other,0,,
125,33,92,0,0,other,0,,
125,34,91,0,1,ObservedMinTwo-candidate,0,,3^3+4^3
125,35,90,0,0,other,0,,
125,36,89,0,0,other,0,,
125,37,88,0,0,other,0,,
125,38,87,0,0,other,0,,
125,39,86,0,0,other,0,,
125,40,85,0,0,other,0,,
125,41,84,0,0,other,0,,
125,42,83,0,0,other,0,,
125,43,82,0,0,other,0,,
125,44,81,0,0,other,1,3^4;9^2,
125,45,80,0,0,other,0,,
125,46,79,0,0,other,0,,
125,47,78,0,0,other,0,,
125,48,77,0,0,other,0,,
125,49,76,0,0,other,0,,
125,50,75,0,0,other,0,,
125,51,74,0,0,other,0,,
125,52,73,0,0,other,0,,
125,53,72,0,1,ObservedMinTwo-candidate,0,,2^3+4^3
125,54,71,0,0,other,0,,
125,55,70,0,0,other,0,,
125,56,69,0,0,other,0,,
125,57,68,0,0,other,0,,
125,58,67,0,0,other,0,,
125,59,66,0,0,other,0,,
125,60,65,0,1,ObservedMinTwo-candidate,0,,1^3+4^3
125,61,64,1,1,ObservedMinOne-candidate,1,2^6;4^3;8^2,0^3+4^3
125,62,63,0,0,other,0,,
125,63,62,0,0,other,0,,
125,64,61,0,0,other,0,,
125,65,60,0,0,other,0,,
125,66,59,0,0,other,0,,
125,67,58,0,0,other,0,,
125,68,57,0,0,other,0,,
125,69,56,0,0,other,0,,
125,70,55,0,0,other,0,,
125,71,54,0,1,ObservedMinTwo-candidate,0,,3^3+3^3
125,72,53,0,0,other,0,,
125,73,52,0,0,other,0,,
125,74,51,0,0,other,0,,
125,75,50,0,0,other,0,,
125,76,49,0,0,other,1,7^2,
125,77,48,0,0,other,0,,
125,78,47,0,0,other,0,,
125,79,46,0,0,other,0,,
125,80,45,0,0,other,0,,
125,81,44,0,0,other,0,,
125,82,43,0,0,other,0,,
125,83,42,0,0,other,0,,
125,84,41,0,0,other,0,,
125,85,40,0,0,other,0,,
125,86,39,0,0,other,0,,
125,87,38,0,0,other,0,,
125,88,37,0,0,other,0,,
125,89,36,0,0,other,1,6^2,
125,90,35,0,1,ObservedMinTwo-candidate,0,,2^3+3^3
125,91,34,0,0,other,0,,
125,92,33,0,0,other,0,,
125,93,32,0,0,other,1,2^5,
125,94,31,0,0,other,0,,
125,95,30,0,0,other,0,,
125,96,29,0,0,other,0,,
125,97,28,0,1,ObservedMinTwo-candidate,0,,1^3+3^3
125,98,27,1,1,ObservedMinOne-candidate,1,3^3,0^3+3^3
125,99,26,0,0,other,0,,
125,100,25,0,0,other,1,5^2,
125,101,24,0,0,other,0,,
125,102,23,0,0,other,0,,
125,103,22,0,0,other,0,,
125,104,21,0,0,other,0,,
125,105,20,0,0,other,0,,
125,106,19,0,0,other,0,,
125,107,18,0,0,other,0,,
125,108,17,0,0,other,0,,
125,109,16,0,1,ObservedMinTwo-candidate,1,2^4;4^2,2^3+2^3
125,110,15,0,0,other,0,,
125,111,14,0,0,other,0,,
125,112,13,0,0,other,0,,
125,113,12,0,0,other,0,,
125,114,11,0,0,other,0,,
125,115,10,0,0,other,0,,
125,116,9,0,1,ObservedMinTwo-candidate,1,3^2,1^3+2^3
125,117,8,1,1,ObservedMinOne-candidate,1,2^3,0^3+2^3
125,118,7,0,0,other,0,,
125,119,6,0,0,other,0,,
125,120,5,0,0,other,0,,
125,121,4,0,0,other,1,2^2,
125,122,3,0,0,other,0,,
125,123,2,0,1,ObservedMinTwo-candidate,0,,1^3+1^3
125,124,1,1,1,ObservedMinOne-candidate,0,,0^3+1^3
125,125,0,1,1,ObservedMinOne-candidate,0,,0^3+0^3
