big,body,residual,profile,cube2_repr,has_type_i_nontrivial,type_i_repr
512,105,407,ObservedMinTwo-candidate,4^3+7^3,0,
512,142,370,ObservedMinTwo-candidate,3^3+7^3,0,
512,161,351,ObservedMinTwo-candidate,2^3+7^3,0,
512,168,344,ObservedMinTwo-candidate,1^3+7^3,0,
512,169,343,ObservedMinOne-candidate,0^3+7^3,1,7^3
512,171,341,ObservedMinTwo-candidate,5^3+6^3,0,
512,232,280,ObservedMinTwo-candidate,4^3+6^3,0,
512,262,250,ObservedMinTwo-candidate,5^3+5^3,0,
512,269,243,ObservedMinTwo-candidate,3^3+6^3,1,3^5
512,288,224,ObservedMinTwo-candidate,2^3+6^3,0,
512,295,217,ObservedMinTwo-candidate,1^3+6^3,0,
512,296,216,ObservedMinOne-candidate,0^3+6^3,1,6^3
512,323,189,ObservedMinTwo-candidate,4^3+5^3,0,
512,360,152,ObservedMinTwo-candidate,3^3+5^3,0,
512,379,133,ObservedMinTwo-candidate,2^3+5^3,0,
512,384,128,ObservedMinTwo-candidate,4^3+4^3,1,2^7
512,386,126,ObservedMinTwo-candidate,1^3+5^3,0,
512,387,125,ObservedMinOne-candidate,0^3+5^3,1,5^3
512,421,91,ObservedMinTwo-candidate,3^3+4^3,0,
512,440,72,ObservedMinTwo-candidate,2^3+4^3,0,
512,447,65,ObservedMinTwo-candidate,1^3+4^3,0,
512,448,64,ObservedMinOne-candidate,0^3+4^3,1,2^6;4^3;8^2
512,458,54,ObservedMinTwo-candidate,3^3+3^3,0,
512,477,35,ObservedMinTwo-candidate,2^3+3^3,0,
512,484,28,ObservedMinTwo-candidate,1^3+3^3,0,
512,485,27,ObservedMinOne-candidate,0^3+3^3,1,3^3
512,496,16,ObservedMinTwo-candidate,2^3+2^3,1,2^4;4^2
512,503,9,ObservedMinTwo-candidate,1^3+2^3,1,3^2
512,504,8,ObservedMinOne-candidate,0^3+2^3,1,2^3
512,510,2,ObservedMinTwo-candidate,1^3+1^3,0,
512,511,1,ObservedMinOne-candidate,0^3+1^3,0,
512,512,0,ObservedMinOne-candidate,0^3+0^3,0,
729,0,729,ObservedMinOne-candidate,0^3+9^3,1,3^6;9^3;27^2
729,1,728,ObservedMinTwo-candidate,6^3+8^3,0,
