big,body,residual,is_cube1,is_cube2,profile,has_type_i_nontrivial,type_i_repr,cube2_repr
27,0,27,1,1,ObservedMinOne-candidate,1,3^3,0^3+3^3
27,1,26,0,0,other,0,,
27,2,25,0,0,other,1,5^2,
27,3,24,0,0,other,0,,
27,4,23,0,0,other,0,,
27,5,22,0,0,other,0,,
27,6,21,0,0,other,0,,
27,7,20,0,0,other,0,,
27,8,19,0,0,other,0,,
27,9,18,0,0,other,0,,
27,10,17,0,0,other,0,,
27,11,16,0,1,ObservedMinTwo-candidate,1,2^4;4^2,2^3+2^3
27,12,15,0,0,other,0,,
27,13,14,0,0,other,0,,
27,14,13,0,0,other,0,,
27,15,12,0,0,other,0,,
27,16,11,0,0,other,0,,
27,17,10,0,0,other,0,,
27,18,9,0,1,ObservedMinTwo-candidate,1,3^2,1^3+2^3
27,19,8,1,1,ObservedMinOne-candidate,1,2^3,0^3+2^3
27,20,7,0,0,other,0,,
27,21,6,0,0,other,0,,
27,22,5,0,0,other,0,,
27,23,4,0,0,other,1,2^2,
27,24,3,0,0,other,0,,
27,25,2,0,1,ObservedMinTwo-candidate,0,,1^3+1^3
27,26,1,1,1,ObservedMinOne-candidate,0,,0^3+1^3
27,27,0,1,1,ObservedMinOne-candidate,0,,0^3+0^3
