big,body,residual,is_cube1,is_cube2,profile,has_type_i_nontrivial,type_i_repr,cube2_repr
64,0,64,1,1,ObservedMinOne-candidate,1,2^6;4^3;8^2,0^3+4^3
64,1,63,0,0,other,0,,
64,2,62,0,0,other,0,,
64,3,61,0,0,other,0,,
64,4,60,0,0,other,0,,
64,5,59,0,0,other,0,,
64,6,58,0,0,other,0,,
64,7,57,0,0,other,0,,
64,8,56,0,0,other,0,,
64,9,55,0,0,other,0,,
64,10,54,0,1,ObservedMinTwo-candidate,0,,3^3+3^3
64,11,53,0,0,other,0,,
64,12,52,0,0,other,0,,
64,13,51,0,0,other,0,,
64,14,50,0,0,other,0,,
64,15,49,0,0,other,1,7^2,
64,16,48,0,0,other,0,,
64,17,47,0,0,other,0,,
64,18,46,0,0,other,0,,
64,19,45,0,0,other,0,,
64,20,44,0,0,other,0,,
64,21,43,0,0,other,0,,
64,22,42,0,0,other,0,,
64,23,41,0,0,other,0,,
64,24,40,0,0,other,0,,
64,25,39,0,0,other,0,,
64,26,38,0,0,other,0,,
64,27,37,0,0,other,0,,
64,28,36,0,0,other,1,6^2,
64,29,35,0,1,ObservedMinTwo-candidate,0,,2^3+3^3
64,30,34,0,0,other,0,,
64,31,33,0,0,other,0,,
64,32,32,0,0,other,1,2^5,
64,33,31,0,0,other,0,,
64,34,30,0,0,other,0,,
64,35,29,0,0,other,0,,
64,36,28,0,1,ObservedMinTwo-candidate,0,,1^3+3^3
64,37,27,1,1,ObservedMinOne-candidate,1,3^3,0^3+3^3
64,38,26,0,0,other,0,,
64,39,25,0,0,other,1,5^2,
64,40,24,0,0,other,0,,
64,41,23,0,0,other,0,,
64,42,22,0,0,other,0,,
64,43,21,0,0,other,0,,
64,44,20,0,0,other,0,,
64,45,19,0,0,other,0,,
64,46,18,0,0,other,0,,
64,47,17,0,0,other,0,,
64,48,16,0,1,ObservedMinTwo-candidate,1,2^4;4^2,2^3+2^3
64,49,15,0,0,other,0,,
64,50,14,0,0,other,0,,
64,51,13,0,0,other,0,,
64,52,12,0,0,other,0,,
64,53,11,0,0,other,0,,
64,54,10,0,0,other,0,,
64,55,9,0,1,ObservedMinTwo-candidate,1,3^2,1^3+2^3
64,56,8,1,1,ObservedMinOne-candidate,1,2^3,0^3+2^3
64,57,7,0,0,other,0,,
64,58,6,0,0,other,0,,
64,59,5,0,0,other,0,,
64,60,4,0,0,other,1,2^2,
64,61,3,0,0,other,0,,
64,62,2,0,1,ObservedMinTwo-candidate,0,,1^3+1^3
64,63,1,1,1,ObservedMinOne-candidate,0,,0^3+1^3
64,64,0,1,1,ObservedMinOne-candidate,0,,0^3+0^3
