t,a,b,a_pow_b,b_pow_a,relative_error,balanced
0.5,4.0,2.0,16.0,16.0,0.0,1
2.0,2.0,4.0,16.0,16.0,0.0,1
3.0,1.7320508075688772,5.196152422706632,17.361905250953132,17.361905250953132,0.0,1
4.0,1.5874010519681994,6.3496042078727974,18.805326789549465,18.805326789549472,3.7784120622405996e-16,1
