big,body,residual,is_cube1,is_cube2,profile,has_type_i_nontrivial,type_i_repr,cube2_repr
216,0,216,1,1,ObservedMinOne-candidate,1,6^3,0^3+6^3
216,1,215,0,0,other,0,,
216,2,214,0,0,other,0,,
216,3,213,0,0,other,0,,
216,4,212,0,0,other,0,,
216,5,211,0,0,other,0,,
216,6,210,0,0,other,0,,
216,7,209,0,0,other,0,,
216,8,208,0,0,other,0,,
216,9,207,0,0,other,0,,
216,10,206,0,0,other,0,,
216,11,205,0,0,other,0,,
216,12,204,0,0,other,0,,
216,13,203,0,0,other,0,,
216,14,202,0,0,other,0,,
216,15,201,0,0,other,0,,
216,16,200,0,0,other,0,,
216,17,199,0,0,other,0,,
216,18,198,0,0,other,0,,
216,19,197,0,0,other,0,,
216,20,196,0,0,other,1,14^2,
216,21,195,0,0,other,0,,
216,22,194,0,0,other,0,,
216,23,193,0,0,other,0,,
216,24,192,0,0,other,0,,
216,25,191,0,0,other,0,,
216,26,190,0,0,other,0,,
216,27,189,0,1,ObservedMinTwo-candidate,0,,4^3+5^3
216,28,188,0,0,other,0,,
216,29,187,0,0,other,0,,
216,30,186,0,0,other,0,,
216,31,185,0,0,other,0,,
216,32,184,0,0,other,0,,
216,33,183,0,0,other,0,,
216,34,182,0,0,other,0,,
216,35,181,0,0,other,0,,
216,36,180,0,0,other,0,,
216,37,179,0,0,other,0,,
216,38,178,0,0,other,0,,
216,39,177,0,0,other,0,,
216,40,176,0,0,other,0,,
216,41,175,0,0,other,0,,
216,42,174,0,0,other,0,,
216,43,173,0,0,other,0,,
216,44,172,0,0,other,0,,
216,45,171,0,0,other,0,,
216,46,170,0,0,other,0,,
216,47,169,0,0,other,1,13^2,
216,48,168,0,0,other,0,,
216,49,167,0,0,other,0,,
216,50,166,0,0,other,0,,
216,51,165,0,0,other,0,,
216,52,164,0,0,other,0,,
216,53,163,0,0,other,0,,
216,54,162,0,0,other,0,,
216,55,161,0,0,other,0,,
216,56,160,0,0,other,0,,
216,57,159,0,0,other,0,,
216,58,158,0,0,other,0,,
216,59,157,0,0,other,0,,
216,60,156,0,0,other,0,,
216,61,155,0,0,other,0,,
216,62,154,0,0,other,0,,
216,63,153,0,0,other,0,,
216,64,152,0,1,ObservedMinTwo-candidate,0,,3^3+5^3
216,65,151,0,0,other,0,,
216,66,150,0,0,other,0,,
