root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
1,1,True,0,0,0,-1,0,0,-1,0,0,0,0,0,none
3,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
5,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
7,4,True,3,0,1,1,1,0,0,3,2,1,1,2,d2:1;d3:1
9,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
11,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
13,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
15,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
17,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
19,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
21,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
23,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
25,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
27,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
29,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
31,17,True,16,0,5,13,13,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
33,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
35,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
37,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
39,7,True,6,0,1,1,1,0,0,3,2,1,1,2,d1:1;d2:1
41,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
43,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
45,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
47,17,True,16,0,4,12,12,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
49,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
51,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
53,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
55,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
57,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
59,7,True,6,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
61,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
63,16,True,15,0,4,11,11,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
65,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
67,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
69,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
71,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
73,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
75,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
77,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
79,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
81,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
83,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
85,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
87,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
89,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
91,15,True,14,0,3,10,9,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
93,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
95,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
97,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
99,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
101,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
103,14,True,13,0,3,9,9,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
105,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
107,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
109,19,True,18,0,5,15,13,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
111,11,True,10,0,3,6,6,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
113,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
115,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
117,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
119,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
121,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
123,10,True,9,0,1,2,2,0,0,2,2,1,1,2,d1:1;d2:1
125,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
127,9,True,8,0,4,2,2,0,0,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
129,21,True,20,0,4,16,12,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
131,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
133,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
135,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
137,15,True,14,0,3,10,9,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
139,9,True,8,0,1,3,1,0,2,2,2,1,1,2,d1:1;d2:1
141,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
143,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
145,20,True,19,0,5,16,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
147,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
149,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
151,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
153,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
155,14,True,13,0,2,2,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
157,8,True,7,0,1,2,1,0,1,2,2,1,1,2,d1:1;d2:1
159,9,True,8,0,2,4,4,0,0,5,3,1,2,2,d1:1;d3:1;d4:1
161,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
163,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
165,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
167,11,True,10,0,2,6,6,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
169,10,True,9,0,4,3,2,0,1,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
171,22,True,21,0,5,18,13,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
173,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
175,13,True,12,0,2,1,6,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
177,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
179,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
181,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
183,15,True,14,0,2,3,6,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
185,10,True,9,0,1,4,1,0,3,2,2,1,1,2,d1:1;d2:1
187,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
189,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
191,9,True,8,0,3,1,1,0,0,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
193,21,True,20,0,5,17,13,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
195,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
197,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
199,19,True,18,0,3,1,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
201,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
203,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
205,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
207,14,True,13,0,2,2,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
209,9,True,8,0,1,3,1,0,2,2,2,1,1,2,d1:1;d2:1
211,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
213,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
215,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
217,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
219,11,True,10,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
221,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
223,11,True,10,0,2,6,6,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
225,11,True,10,0,4,4,2,0,2,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
227,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
229,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
231,20,True,19,0,5,2,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
233,14,True,13,0,2,2,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
235,21,True,20,0,3,1,9,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
237,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
239,9,True,8,0,2,4,4,0,0,4,3,1,2,2,d1:1;d3:1;d4:1
241,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
243,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
245,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
247,10,True,9,0,1,4,1,0,3,2,2,1,1,2,d1:1;d2:1
249,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
251,11,True,10,0,2,6,6,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
253,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
255,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
257,22,True,21,0,5,18,13,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
259,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
261,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
263,13,True,12,0,2,8,6,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
265,20,True,19,0,3,2,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
267,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
269,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
271,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
273,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
275,15,True,14,0,2,3,6,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
277,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
279,8,True,7,0,1,2,1,0,1,2,2,1,1,2,d1:1;d2:1
281,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
283,10,True,9,0,1,3,2,0,1,6,3,2,1,3,d2:1;d4:1;d5:1
285,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
287,9,True,8,0,2,1,1,0,0,5,3,1,2,2,d1:1;d2:1;d4:1
289,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
291,19,True,18,0,5,15,13,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
293,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
295,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
297,12,True,11,0,2,7,6,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
299,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
301,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
303,9,True,8,0,1,2,2,0,0,4,2,1,1,2,d2:1;d3:1
305,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
307,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
309,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
311,14,True,13,0,2,9,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
313,22,True,21,0,3,2,9,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
315,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
317,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
319,9,True,8,0,1,2,2,0,0,6,3,2,1,3,d2:1;d4:1;d5:1
321,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
323,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
325,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
327,24,True,23,0,4,1,12,0,15,6,3,2,1,3,d2:1;d4:1;d5:1
329,11,True,10,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
331,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
333,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
335,11,True,10,0,1,4,2,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
337,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
339,10,True,9,0,3,2,1,0,1,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
341,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
343,21,True,20,0,5,17,13,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
345,21,True,20,0,4,16,12,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
347,20,True,19,0,5,2,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
349,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
351,12,True,11,0,2,7,6,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
353,21,True,20,0,3,3,9,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
355,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
357,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
359,9,True,8,0,1,2,2,0,0,3,2,1,1,2,d1:1;d3:1
361,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
363,11,True,10,0,1,8,1,0,7,3,2,1,1,2,d2:1;d3:1
365,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
367,8,True,7,0,1,1,1,0,0,4,2,1,1,2,d2:1;d4:1
369,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
371,10,True,9,0,1,4,1,0,3,2,2,1,1,2,d1:1;d2:1
373,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
375,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
377,11,True,10,0,1,4,2,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
379,12,True,11,0,1,9,1,0,8,3,2,1,1,2,d2:1;d3:1
381,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
383,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
385,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
387,20,True,19,0,5,16,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
389,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
391,19,True,18,0,5,1,13,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
393,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
395,13,True,12,0,2,8,6,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
397,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
399,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
401,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
403,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
405,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
407,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
409,10,True,9,0,1,7,1,0,6,3,2,1,1,2,d2:1;d3:1
411,21,True,20,0,5,3,13,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
413,15,True,14,0,2,3,6,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
415,22,True,21,0,4,3,12,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
417,23,True,22,0,3,3,9,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
419,8,True,7,0,1,2,1,0,1,2,2,1,1,2,d1:1;d2:1
421,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
423,5,True,4,0,1,2,2,0,0,3,2,1,1,2,d1:1;d3:1
425,10,True,9,0,1,3,2,0,1,6,3,2,1,3,d2:1;d4:1;d5:1
427,11,True,10,0,1,8,1,0,7,3,2,1,1,2,d2:1;d3:1
429,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
431,9,True,8,0,2,1,1,0,0,4,3,1,2,2,d1:1;d2:1;d4:1
433,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
435,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
437,19,True,18,0,5,15,13,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
439,11,True,10,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
441,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
443,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
445,12,True,11,0,2,7,6,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
447,16,True,15,0,5,7,7,0,5,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
449,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
451,10,True,9,0,4,3,2,0,1,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
453,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
455,9,True,8,0,1,2,2,0,0,3,2,1,1,2,d2:1;d3:1
457,22,True,21,0,5,18,13,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
459,22,True,21,0,4,1,12,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
461,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
463,20,True,19,0,5,2,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
465,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
467,14,True,13,0,2,9,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
469,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
471,20,True,19,0,3,2,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
473,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
475,5,True,4,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
477,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
479,9,True,8,0,1,2,2,0,0,5,3,2,1,3,d2:1;d4:1;d5:1
481,10,True,9,0,1,7,1,0,6,3,2,1,1,2,d2:1;d3:1
483,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
485,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
487,22,True,21,0,5,4,13,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
489,9,True,8,0,1,2,1,0,1,4,2,1,1,2,d2:1;d4:1
491,24,True,23,0,4,1,12,0,15,6,3,2,1,3,d2:1;d4:1;d5:1
493,11,True,10,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
495,17,True,16,0,3,7,7,0,1,3,2,1,1,2,d1:1;d2:1
497,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
499,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
501,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
503,11,True,10,0,1,4,2,0,2,6,3,2,1,3,d2:1;d4:1;d5:1
505,13,True,12,0,1,10,1,0,9,3,2,1,1,2,d2:1;d3:1
507,8,True,7,0,1,2,2,0,0,2,2,1,1,2,d1:1;d2:1
509,10,True,9,0,3,2,1,0,1,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
511,11,True,10,0,5,2,2,0,0,9,6,1,5,2,d1:1;d3:1;d4:1;d6:1;d8:1;d9:1
513,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
515,21,True,20,0,5,17,13,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
517,21,True,20,0,4,16,12,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
519,13,True,12,0,1,7,1,0,6,2,2,1,1,2,d1:1;d2:1
521,20,True,19,0,5,2,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
523,21,True,20,0,4,16,12,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
525,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
527,12,True,11,0,2,7,6,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
529,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
531,20,True,19,0,3,15,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
533,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
535,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
537,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
539,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
541,10,True,9,0,1,7,1,0,6,3,2,1,1,2,d2:1;d3:1
543,23,True,22,0,5,2,13,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
545,11,True,10,0,1,8,1,0,7,3,2,1,1,2,d2:1;d3:1
547,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
549,15,True,14,0,3,10,9,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
551,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
553,23,True,22,0,4,4,12,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
555,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
557,10,True,9,0,1,4,1,0,3,2,2,1,1,2,d1:1;d2:1
559,17,True,16,0,1,3,3,0,0,4,2,1,1,2,d1:1;d3:1
561,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
563,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
565,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
567,10,True,9,0,1,3,2,0,1,5,3,2,1,3,d2:1;d4:1;d5:1
569,12,True,11,0,1,9,1,0,8,3,2,1,1,2,d2:1;d3:1
571,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
573,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
575,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
577,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
579,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
581,20,True,19,0,5,16,13,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
583,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
585,12,True,11,0,1,6,1,0,5,2,2,1,1,2,d1:1;d2:1
587,19,True,18,0,5,15,13,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
589,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
591,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
593,13,True,12,0,2,8,6,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
595,12,True,11,0,1,5,2,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
597,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
599,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
601,11,True,10,0,4,4,2,0,2,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
603,16,True,15,0,1,4,3,0,1,3,2,1,1,2,d1:1;d2:1
605,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
607,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
609,23,True,22,0,5,19,13,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
611,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
613,9,True,8,0,1,6,1,0,5,3,2,1,1,2,d2:1;d3:1
615,13,True,12,0,1,1,1,0,0,3,2,1,1,2,d1:1;d2:1
617,21,True,20,0,5,3,13,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
619,23,True,22,0,4,18,12,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
621,15,True,14,0,2,3,6,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
623,22,True,21,0,4,3,12,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
625,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
627,22,True,21,0,3,4,9,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
629,8,True,7,0,1,2,1,0,1,2,2,1,1,2,d1:1;d2:1
631,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
633,6,True,5,0,1,2,1,0,1,2,2,1,1,2,d1:1;d2:1
635,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
637,10,True,9,0,2,5,4,0,1,4,3,1,2,2,d1:1;d3:1;d4:1
639,21,True,20,0,4,4,9,0,2,3,2,1,1,2,d1:1;d3:1
641,11,True,10,0,1,8,1,0,7,3,2,1,1,2,d2:1;d3:1
643,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
645,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
647,9,True,8,0,1,1,1,0,0,3,2,1,1,2,d1:1;d2:1
649,23,True,22,0,5,5,13,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
651,17,True,16,0,2,5,6,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
653,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
655,23,True,22,0,4,4,12,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
657,12,True,11,0,1,6,1,0,5,2,2,1,1,2,d1:1;d2:1
659,11,True,10,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
661,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
663,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
665,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
667,21,True,20,0,3,4,9,0,2,4,3,1,2,2,d1:1;d3:1;d4:1
669,12,True,11,0,2,7,6,0,3,6,3,2,1,3,d2:1;d4:1;d5:1
671,16,True,15,0,4,4,4,0,5,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
673,14,True,13,0,1,11,1,0,10,3,2,1,1,2,d2:1;d3:1
675,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
677,10,True,9,0,4,3,2,0,1,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
679,15,True,14,0,1,3,3,0,0,3,2,1,1,2,d1:1;d2:1
681,12,True,11,0,5,3,2,0,1,9,6,1,5,2,d1:1;d3:1;d4:1;d6:1;d8:1;d9:1
683,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
