root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
9449,12,True,11,0,2,2,1,0,1,4,3,1,2,2,d1:1;d2:1;d4:1
9451,24,True,23,0,3,3,9,0,15,6,3,2,1,3,d2:1;d4:1;d5:1
9453,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9455,23,True,22,0,3,3,9,0,14,6,3,2,1,3,d2:1;d4:1;d5:1
9457,13,True,12,0,0,-1,0,0,-1,0,0,0,0,0,none
9459,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9461,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9463,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9465,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9467,20,True,19,0,2,6,3,0,3,6,4,2,2,3,d1:1;d3:1;d5:1;d6:1
9469,17,True,16,0,4,2,2,0,8,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
9471,25,True,24,0,3,3,9,0,16,6,3,2,1,3,d2:1;d4:1;d5:1
9473,13,True,12,0,0,-1,0,0,-1,0,0,0,0,0,none
9475,11,True,10,0,1,3,1,0,2,4,3,2,1,3,d1:1;d3:1;d4:1
9477,21,True,20,0,4,16,12,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
9479,31,True,30,0,5,4,13,0,22,6,3,2,1,3,d2:1;d4:1;d5:1
9481,27,True,26,0,3,3,9,0,18,6,3,2,1,3,d2:1;d4:1;d5:1
9483,11,True,10,0,1,7,1,0,6,2,2,1,1,2,d1:1;d2:1
9485,23,True,22,0,3,6,9,0,4,4,3,1,2,2,d1:1;d3:1;d4:1
9487,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9489,24,True,23,0,3,7,9,0,5,4,3,1,2,2,d1:1;d3:1;d4:1
9491,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9493,13,True,12,0,2,8,6,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
9495,22,True,21,0,3,5,9,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
9497,11,True,10,0,1,6,4,0,2,3,2,1,1,2,d2:1;d3:1
9499,18,True,17,0,3,5,4,0,2,3,2,1,1,2,d2:1;d3:1
