n,steps,r_start,depth_len,height_seq,residual_shape_seq,first_failed_depth_seq,residual_mod_8_seq,residual_mod_16_seq,residual_mod_32_seq,residual_all_ones_depth_seq,residual_all_ones_depth_first,residual_all_ones_depth_last,residual_all_ones_depth_mode,residual_all_ones_depth_max,count_all_ones_depth_ge_4,count_all_ones_depth_ge_5,count_all_ones_depth_ge_6,positive_depths,positive_blocks,positive_depth_count,first_frontier_depth,frontier_margin,local_islands,local_island_count,sign_change_up_positions,sign_change_up_count,first_sign_change_pair,residual_mod_16_first,residual_mod_16_last,residual_mod_16_mode,residual_mod_32_first,residual_mod_32_last,residual_mod_32_mode,max_positive_block_length,max_margin_jump,max_retention_drop,max_continuation_drop,max_retention_drop_minus_2_continuation_drop,sign_change_cause_labels,sign_change_drop_details,sign_change_pressure_decay_details,local_island_pressure_decay_details,margin_step_diff,retention_drop_minus_2_continuation_drop,margin_step_matches_net_drop,margin_step_identity_failure_count,margin_profile,retention_profile,continuation_profile
6135,64,2,12,1;1;3;2;1;2;2;3;3;3;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,9203;13805;5177;3883;5825;4369;3277;1229;461;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;2;4;3;2;3;3;4;4;4;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3;5;1;3;1;1;5;5;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;13;9;11;1;1;13;13;13;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,19;13;25;11;1;17;13;13;13;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;1;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2,1,1,3,0,0,0,,,0,-1,0,,0,,0,,3,1,1,19,1,1,0,2,3,2,0,,,,,2:-1;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-1;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-1;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:5;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6137,64,2,12,2;1;2;1;2;1;4;1;1;2;1;1;1;3;1;1;1;2;4;1;1;1;1;1;1;2;1;1;2;5;2;1;1;7;2;1;4;1;3;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,4603;6905;5179;7769;5827;8741;1639;2459;3689;2767;4151;6227;9341;3503;5255;7883;11825;8869;1663;2495;3743;5615;8423;12635;18953;14215;21323;31985;23989;2249;1687;2531;3797;89;67;101;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;3;2;3;2;5;2;2;3;2;2;2;4;2;2;2;3;5;2;2;2;2;2;2;3;2;2;3;6;3;2;2;8;3;2;5;2;4;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3;1;3;1;3;5;7;3;1;7;7;3;5;7;7;3;1;5;7;7;7;7;7;3;1;7;3;1;5;1;7;3;5;1;3;5;3;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;9;11;9;3;5;7;11;9;15;7;3;13;15;7;11;1;5;15;15;15;15;7;11;9;7;11;1;5;9;7;3;5;9;3;5;3;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,27;25;27;25;3;5;7;27;9;15;23;19;29;15;7;11;17;5;31;31;31;15;7;27;9;7;11;17;21;9;23;3;21;25;3;5;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;2;1;2;1;3;2;1;4;3;2;1;4;3;2;1;1;7;6;5;4;3;2;1;3;2;1;1;1;3;2;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2,1,1,7,6,3,2,5,5,1,5,1,5,1,4,1,4->5,11,1,1,27,1,1,1,1,12,6,1,retention_drop_dominant,"4:ret=3,cont=1,diff=1,jump=1,cause=retention_drop_dominant","j=4,margin_j=0,margin_next=1,margin_jump=1,retention_j=6,retention_next=3,retention_drop=3,continuation_j=3,continuation_next=2,continuation_drop=1,retention_drop_minus_2_continuation_drop=1,cause=retention_drop_dominant","n=6137,island_depth=5,left_edge_j=4,margin_left=0,margin_island=1,margin_right=0,retention_left=6,retention_island=3,retention_right=2,continuation_left=3,continuation_island=2,continuation_right=1",2:0;3:0;4:1;5:-1;6:-1;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:0;3:0;4:1;5:-1;6:-1;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:0;3:0;4:0;5:1;6:0;7:-1;8:0;9:0;10:0;11:0;12:0;13:0,2:24;3:12;4:6;5:3;6:2;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:12;3:6;4:3;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6139,64,2,12,1;2;1;2;1;2;1;1;2;1;5;1;2;1;1;1;1;2;4;1;1;1;1;1;1;2;1;1;2;5;2;1;1;7;2;1;4;1;3;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,9209;6907;10361;7771;11657;8743;13115;19673;14755;22133;2075;3113;2335;3503;5255;7883;11825;8869;1663;2495;3743;5615;8423;12635;18953;14215;21323;31985;23989;2249;1687;2531;3797;89;67;101;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;3;2;3;2;3;2;2;3;2;6;2;3;2;2;2;2;3;5;2;2;2;2;2;2;3;2;2;3;6;3;2;2;8;3;2;5;2;4;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1;3;1;3;1;7;3;1;3;5;3;1;7;7;7;3;1;5;7;7;7;7;7;3;1;7;3;1;5;1;7;3;5;1;3;5;3;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9;11;9;11;9;7;11;9;3;5;11;9;15;15;7;11;1;5;15;15;15;15;7;11;9;7;11;1;5;9;7;3;5;9;3;5;3;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,25;27;25;27;9;7;27;25;3;21;27;9;31;15;7;11;17;5;31;31;31;15;7;27;9;7;11;17;21;9;23;3;21;25;3;5;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;2;1;2;1;3;2;1;2;1;2;1;5;4;3;2;1;1;7;6;5;4;3;2;1;3;2;1;1;1;3;2;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,7,6,4,2,3;4,3-4,2,3,1,,0,2,1,2->3,9,1,1,25,1,1,2,3,13,5,3,retention_drop_dominant,"2:ret=13,cont=5,diff=3,jump=3,cause=retention_drop_dominant","j=2,margin_j=-2,margin_next=1,margin_jump=3,retention_j=24,retention_next=11,retention_drop=13,continuation_j=11,continuation_next=6,continuation_drop=5,retention_drop_minus_2_continuation_drop=3,cause=retention_drop_dominant",,2:3;3:1;4:-2;5:0;6:-1;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:3;3:1;4:-2;5:0;6:-1;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-2;3:1;4:2;5:0;6:0;7:-1;8:0;9:0;10:0;11:0;12:0;13:0,2:24;3:11;4:6;5:4;6:2;7:1;8:0;9:0;10:0;11:0;12:0;13:0,2:11;3:6;4:4;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6141,64,2,12,3;1;1;1;1;1;1;1;4;7;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,2303;3455;5183;7775;11663;17495;26243;39365;7381;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;2;2;2;2;2;2;2;5;8;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,7;7;7;7;7;7;3;5;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,15;15;15;15;15;7;3;5;5;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,31;31;31;31;15;23;3;5;21;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8;7;6;5;4;3;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,8,1,1,8,5,4,3,2;3;4;5;6,2-6,5,2,5,,0,,0,,15,1,1,31,1,1,5,2,2,2,0,,,,,2:-2;3:0;4:-1;5:-1;6:-1;7:-1;8:1;9:0;10:0;11:0;12:0;13:0,2:-2;3:0;4:-1;5:-1;6:-1;7:-1;8:1;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:5;3:3;4:3;5:2;6:1;7:0;8:-1;9:0;10:0;11:0;12:0;13:0,2:9;3:7;4:5;5:4;6:3;7:2;8:1;9:0;10:0;11:0;12:0;13:0,2:7;3:5;4:4;5:3;6:2;7:1;8:0;9:0;10:0;11:0;12:0;13:0
6143,64,2,12,1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;2;1;1;3;2;2;2;1;2;3;2;1;2;1;5;1;2;2;3;1;2;2;4;2;1;1;1;1;1;1;2;4;3;3;3;1;2;3;4;2;2;2;2;2;2;2;2;2,9215;13823;20735;31103;46655;69983;104975;157463;236195;354293;33215;49823;74735;112103;168155;252233;189175;283763;425645;159617;119713;89785;67339;101009;75757;28409;21307;31961;23971;35957;3371;5057;3793;2845;1067;1601;1201;901;169;127;191;287;431;647;971;1457;1093;205;77;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1,2;2;2;2;2;2;2;2;2;2;6;2;2;2;2;2;3;2;2;4;3;3;3;2;3;4;3;2;3;2;6;2;3;3;4;2;3;3;5;3;2;2;2;2;2;2;3;5;4;4;4;2;3;4;5;3;3;3;3;3;3;3;3;3,7;7;7;7;7;7;7;7;3;5;7;7;7;7;3;1;7;3;5;1;1;1;3;1;5;1;3;1;3;5;3;1;1;5;3;1;1;5;1;7;7;7;7;7;3;1;5;5;5;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1,15;15;15;15;15;15;15;7;3;5;15;15;15;7;11;9;7;3;13;1;1;9;11;1;13;9;11;9;3;5;11;1;1;13;11;1;1;5;9;15;15;15;15;7;11;1;5;13;13;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1,31;31;31;31;31;31;15;23;3;21;31;31;15;7;27;9;23;19;13;1;1;25;11;17;13;25;27;25;3;21;11;1;17;29;11;1;17;5;9;31;31;31;15;7;11;17;5;13;13;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1,10;9;8;7;6;5;4;3;2;1;6;5;4;3;2;1;3;2;1;1;1;1;2;1;1;1;2;1;2;1;2;1;1;1;2;1;1;1;1;7;6;5;4;3;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1,10,1,1,10,14,11,8,2;3;4;5;6;7;8;9,2-9,8,2,9,,0,,0,,15,1,1,31,1,1,8,3,10,4,0,,,,,2:2;3:-2;4:-3;5:-3;6:-1;7:0;8:-1;9:-1;10:-1;11:1;12:0;13:0,2:2;3:-2;4:-3;5:-3;6:-1;7:0;8:-1;9:-1;10:-1;11:1;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:9;3:11;4:9;5:6;6:3;7:2;8:2;9:1;10:0;11:-1;12:0;13:0,2:29;3:19;4:15;5:12;6:9;7:6;8:4;9:3;10:2;11:1;12:0;13:0,2:19;3:15;4:12;5:9;6:6;7:4;8:3;9:2;10:1;11:0;12:0;13:0
6145,64,2,12,2;2;2;2;2;1;3;5;3;3;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,4609;3457;2593;1945;1459;2189;821;77;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;2;4;6;4;4;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1;1;1;1;3;5;5;5;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;9;3;13;5;13;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;25;19;13;21;13;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,2,0,0,0,,,0,-1,0,,0,,0,,1,1,1,1,1,1,0,2,2,0,0,,,,,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6147,64,2,12,1;4;2;2;3;3;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,9221;1729;1297;973;365;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;5;3;3;4;4;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,5;1;1;5;5;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,5;1;1;13;13;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,5;1;17;13;13;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,6,5,2,1,2,2,1,2,3,,0,,0,,5,1,1,5,1,1,1,4,8,6,0,,,,,2:-4;3:0;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-4;3:0;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:3;3:-1;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:19;3:11;4:5;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:11;3:5;4:2;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6149,64,2,12,4;2;2;2;1;1;2;1;1;3;1;1;3;1;2;6;1;1;1;1;2;2;1;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2;2;2;2;2;2;2;2;2,1153;865;649;487;731;1097;823;1235;1853;695;1043;1565;587;881;661;31;47;71;107;161;121;91;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1;1;1;1;1;1;1;1;1,5;3;3;3;2;2;3;2;2;4;2;2;4;2;3;7;2;2;2;2;3;3;2;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3;3;3;3;3;3;3;3;3,1;1;1;7;3;1;7;3;5;7;3;5;3;1;5;7;7;7;3;1;1;3;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1;1;1;1;1;1;1;1;1,1;1;9;7;11;9;7;3;13;7;3;13;11;1;5;15;15;7;11;1;9;11;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1;1;1;1;1;1;1;1;1,1;1;9;7;27;9;23;19;29;23;19;29;11;17;21;31;15;7;11;1;25;27;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1;1;1;1;1;1;1;1;1,1;1;1;3;2;1;3;2;1;3;2;1;2;1;1;5;4;3;2;1;1;2;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,6,7,3,1,2,2,1,2,4,,0,,0,,1,1,1,1,1,1,1,7,13,10,0,,,,,2:-7;3:2;4:0;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-7;3:2;4:0;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:4;3:-3;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:30;3:17;4:7;5:3;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:17;3:7;4:3;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6151,64,2,12,1;1;2;3;5;3;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,9227;13841;10381;3893;365;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;2;3;4;6;4;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3;1;5;5;5;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;1;13;5;13;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;17;13;21;13;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2,1,1,6,5,2,1,2,2,1,2,4,,0,,0,,11,1,1,11,1,1,1,6,8,7,0,,,,,2:-6;3:1;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-6;3:1;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:4;3:-2;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:20;3:12;4:5;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:12;3:5;4:2;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
6153,64,2,12,2;1;1;2;3;2;1;1;1;4;1;2;2;1;3;1;3;1;3;2;3;1;2;1;4;1;3;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,4615;6923;10385;7789;2921;2191;3287;4931;7397;1387;2081;1561;1171;1757;659;989;371;557;209;157;59;89;67;101;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;2;3;4;3;2;2;2;5;2;3;3;2;4;2;4;2;4;3;4;2;3;2;5;2;4;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,7;3;1;5;1;7;7;3;5;3;1;1;3;5;3;5;3;5;1;5;3;1;3;5;3;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,7;11;1;13;9;15;7;3;5;11;1;9;3;13;3;13;3;13;1;13;11;9;3;5;3;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,7;11;17;13;9;15;23;3;5;11;1;25;19;29;19;29;19;13;17;29;27;25;3;5;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;1;1;1;4;3;2;1;2;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3,1,1,4,1,0,0,,,0,-1,0,,0,,0,,7,1,1,7,1,1,0,6,10,2,0,,,,,2:6;3:0;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:6;3:0;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-7;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:13;3:3;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:3;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
