n,steps,r_start,depth_len,selected_depths,selected_count,selected_depths_are_prefix,selected_depths_are_consecutive,frontier_depth,max_selected_depth,missing_selected_depths,min_selected_margin,max_unselected_margin,margin_profile
9499,128,2,10,2;4,2,False,False,5,4,3,1,0,2:2;3:0;4:1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9501,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:0;4:-1;5:-2;6:-1;7:0;8:0;9:0;10:0;11:0
9503,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:-3;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9505,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-1;4:-2;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9507,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9509,128,2,10,2,1,True,True,3,2,,1,0,2:1;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9511,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9513,128,2,10,2,1,True,True,3,2,,6,0,2:6;3:-2;4:-2;5:-2;6:-1;7:0;8:0;9:0;10:0;11:0
9515,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9517,128,2,10,2;3,2,True,True,4,3,,1,0,2:2;3:1;4:0;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9519,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-3;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9521,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9523,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9525,128,2,10,2;3,2,True,True,4,3,,1,0,2:5;3:1;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9527,128,2,10,2;5,2,False,False,6,5,3;4,2,0,2:8;3:0;4:0;5:2;6:0;7:0;8:-1;9:0;10:0;11:0
9529,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:-2;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9531,128,2,10,2;3,2,True,True,4,3,,1,0,2:1;3:1;4:0;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9533,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9535,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:1;3:1;4:1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9537,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:0;4:0;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9539,128,2,10,,0,True,True,2,0,,0,0,2:0;3:0;4:-1;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9541,128,2,10,2;3;4;5;6,5,True,True,7,6,,1,0,2:8;3:3;4:2;5:1;6:1;7:0;8:-1;9:0;10:0;11:0
9543,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9545,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-1;4:-1;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9547,128,2,10,2;3;4;5;6,5,True,True,7,6,,1,0,2:6;3:2;4:1;5:2;6:1;7:0;8:-1;9:0;10:0;11:0
9549,128,2,10,2;3;4;5,4,True,True,6,5,,2,0,2:8;3:5;4:3;5:2;6:0;7:0;8:-1;9:0;10:0;11:0
9551,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:0;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9553,128,2,10,2;3;4;5;6,5,True,True,7,6,,1,0,2:6;3:6;4:5;5:3;6:1;7:-1;8:-1;9:0;10:0;11:0
9555,128,2,10,2;3;4;5;6,5,True,True,7,6,,2,0,2:7;3:7;4:6;5:4;6:2;7:0;8:-2;9:0;10:0;11:0
9557,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9559,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-1;4:-1;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9561,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9563,128,2,10,2;3;4;5;6;7;8;9,8,True,True,10,9,,1,0,2:5;3:10;4:9;5:6;6:3;7:2;8:2;9:1;10:0;11:-1
9565,128,2,10,2,1,True,True,3,2,,2,0,2:2;3:-2;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9567,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-2;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9569,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-3;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9571,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9573,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9575,128,2,10,2;3;4;5;6;7;8;9;10;11,10,True,True,12,11,,1,0,2:14;3:12;4:8;5:6;6:6;7:4;8:4;9:3;10:2;11:1
9577,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:10;3:2;4:1;5:2;6:0;7:0;8:-1;9:0;10:0;11:0
9579,128,2,10,2;3;4;5,4,True,True,6,5,,2,0,2:6;3:2;4:2;5:2;6:0;7:0;8:-1;9:0;10:0;11:0
9581,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9583,128,2,10,,0,True,True,2,0,,0,0,2:-8;3:0;4:-2;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
9585,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:0;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9587,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9589,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:0;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9591,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-2;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9593,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:1;3:3;4:1;5:0;6:0;7:-1;8:0;9:0;10:0;11:0
9595,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:-1;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9597,128,2,10,,0,True,True,2,0,,0,0,2:0;3:-1;4:-2;5:0;6:0;7:0;8:0;9:0;10:0;11:0
