root,blocks_audited,reached_state_one_endpoint,maximum_queue,terminal_block,witness_start_block,witness_block_count,witness_length,witness_claim_holes,witness_terminal_valuation,witness_absorption_deficit
10373,10,True,0,-1,-1,0,0,0,0,0
10375,16,True,1,0,0,1,3,1,1,1
10377,18,True,2,2,1,2,7,2,3,2
10379,36,True,6,19,10,10,32,13,13,6
10381,18,True,3,9,4,6,19,8,8,3
10383,13,True,0,-1,-1,0,0,0,0,0
10385,18,True,1,11,11,1,2,0,1,1
10387,17,True,1,10,10,1,2,0,1,1
10389,23,True,5,14,6,9,27,11,11,5
10391,16,True,3,7,2,6,19,8,8,3
10393,25,True,5,16,8,9,27,11,11,5
10395,16,True,1,1,1,1,4,2,1,1
10397,24,True,5,15,7,9,27,11,11,5
10399,14,True,2,0,0,1,5,2,1,2
10401,25,True,4,16,8,9,26,11,11,4
10403,23,True,5,14,6,9,27,11,11,5
10405,29,True,3,20,15,6,19,8,8,3
10407,19,True,2,2,0,3,9,4,3,2
10409,14,True,4,1,1,1,7,2,1,4
10411,25,True,4,16,8,9,26,11,11,4
10413,18,True,3,9,4,6,19,8,8,3
10415,42,True,4,33,25,9,26,11,11,4
10417,10,True,0,-1,-1,0,0,0,0,0
10419,9,True,0,-1,-1,0,0,0,0,0
10421,18,True,2,9,7,3,11,5,4,2
10423,23,True,2,7,6,2,7,2,3,2
10425,9,True,1,1,1,1,2,0,1,1
10427,19,True,1,2,2,1,3,1,1,1
10429,17,True,2,5,5,1,5,2,1,2
10431,16,True,2,0,0,1,6,3,1,2
10433,28,True,4,19,11,9,26,11,11,4
10435,26,True,4,17,9,9,26,11,11,4
10437,10,True,1,2,2,1,4,2,1,1
10439,19,True,1,0,0,1,3,1,1,1
10441,17,True,2,8,6,3,11,5,4,2
10443,12,True,1,3,3,1,4,2,1,1
10445,11,True,1,7,7,1,3,1,1,1
10447,11,True,1,1,1,1,3,1,1,1
10449,16,True,1,5,5,1,3,1,1,1
10451,15,True,1,4,4,1,3,1,1,1
10453,5,True,0,-1,-1,0,0,0,0,0
10455,10,True,1,6,6,1,3,1,1,1
10457,10,True,1,6,6,1,3,1,1,1
10459,24,True,4,15,7,9,26,11,11,4
10461,29,True,4,3,2,2,11,5,2,4
10463,24,True,1,0,0,1,5,2,2,1
10465,24,True,4,2,2,1,8,3,1,4
10467,4,True,0,-1,-1,0,0,0,0,0
10469,18,True,1,1,1,1,2,0,1,1
10471,16,True,1,0,0,1,3,1,1,1
10473,17,True,2,1,1,1,4,1,1,2
10475,18,True,0,-1,-1,0,0,0,0,0
10477,18,True,2,9,7,3,11,5,4,2
10479,23,True,3,1,0,2,9,4,2,3
10481,26,True,4,17,9,9,26,11,11,4
10483,16,True,2,5,4,2,8,3,3,2
10485,24,True,4,15,7,9,26,11,11,4
10487,12,True,1,4,4,1,2,0,1,1
10489,12,True,1,1,1,1,2,0,1,1
10491,14,True,1,2,2,1,5,2,2,1
10493,16,True,2,7,5,3,11,5,4,2
10495,15,True,2,0,0,1,8,3,3,2
10497,27,True,4,18,10,9,26,11,11,4
10499,24,True,4,7,3,5,18,7,7,4
10501,7,True,0,-1,-1,0,0,0,0,0
10503,24,True,3,7,4,4,16,7,6,3
10505,26,True,4,17,9,9,26,11,11,4
10507,26,True,4,17,9,9,26,11,11,4
10509,6,True,0,-1,-1,0,0,0,0,0
10511,13,True,4,2,1,2,10,4,2,4
10513,7,True,0,-1,-1,0,0,0,0,0
10515,25,True,4,2,2,1,9,4,1,4
10517,12,True,1,5,5,1,2,0,1,1
10519,17,True,2,8,6,3,11,5,4,2
10521,17,True,2,8,6,3,11,5,4,2
10523,26,True,3,7,6,2,8,3,2,3
10525,31,True,6,14,5,10,32,13,13,6
10527,15,True,2,0,0,1,5,2,1,2
10529,10,True,0,-1,-1,0,0,0,0,0
10531,8,True,0,-1,-1,0,0,0,0,0
10533,8,True,0,-1,-1,0,0,0,0,0
10535,31,True,5,14,5,10,31,13,13,5
10537,15,True,1,1,1,1,5,2,2,1
10539,30,True,4,13,11,3,12,5,3,4
10541,12,True,1,5,5,1,2,0,1,1
10543,26,True,4,4,4,1,8,3,1,4
10545,26,True,3,17,12,6,19,8,8,3
10547,26,True,3,17,12,6,19,8,8,3
10549,12,True,1,5,5,1,2,0,1,1
10551,18,True,2,9,7,3,12,5,5,2
